DC,LAZY CODE,Date,value
Atlanta,KRSRM8,9/1/2021,60
Atlanta,D6AMER,9/2/2021,130.3333333
Atlanta,D6CAESR,9/2/2021,209.6
Atlanta,D6LFCSR,9/2/2021,72.8
Atlanta,D62ROM,9/2/2021,144
Atlanta,DFAMUCR,9/2/2021,112.8
Atlanta,D6CSPIN,9/2/2021,170.6666667
Atlanta,D12SPIN,9/2/2021,88.33333333
Atlanta,D6ARUGL,9/2/2021,29
Atlanta,DMSWGRP,9/2/2021,20
Atlanta,DMMCORN,9/2/2021,24.66666667
Atlanta,DMMAPLC,9/2/2021,20
Atlanta,D610AHW,9/2/2021,106.3333333
Atlanta,D10VVEG,9/2/2021,86.66666667
Atlanta,DROMFAM,9/2/2021,68.66666667
Atlanta,D6HRTS,9/2/2021,112.3333333
Atlanta,D6CPBBQ,9/2/2021,45.6
Atlanta,D6CPCHI,9/2/2021,65.6
Atlanta,DASICHP,9/2/2021,104.8
Atlanta,DSUNKAL,9/2/2021,109.6
Atlanta,D6BUTB,9/2/2021,141.6666667
Atlanta,DAVORCH,9/2/2021,59
Atlanta,DSWTKAL,9/2/2021,36.33333333
Atlanta,DCPPRCH,9/2/2021,45
Atlanta,DCPBUFR,9/2/2021,35
Atlanta,D6CPCSR,9/2/2021,170.8
Atlanta,D6ULCSR,9/2/2021,354.8
Atlanta,D6CPGRK,9/2/2021,85.6
